Destination,Package_Title,Image_URL,Trip_Description,Itinerary_Plan,Highlights,Package_Price,User_Rating
Udaipur,Cultural Trip to Udaipur,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,City of Lakes known for royal architecture and scenic beauty.,Day 1: City Palace | Day 2: Lake Pichola | Day 3: Jag Mandir | Day 4: Shopping,"Lakes, Palaces, Cultural Heritage",27087,4.8
Kerala,Nature Trip to Kerala,https://images.unsplash.com/photo-1560347876-aeef00ee58a1,"Houseboats, backwaters, and spice plantations in God’s Own Country.",Day 1: Arrival | Day 2: Alleppey Backwaters | Day 3: Munnar Hills | Day 4: Departure,"Backwaters, Houseboat, Tea Gardens",25187,4.8
Ladakh,Adventure Trip to Ladakh,https://images.unsplash.com/photo-1518684079-3c830dcef090,A high-altitude desert with stunning monasteries and scenic roads.,Day 1: Arrival | Day 2: Nubra Valley | Day 3: Pangong Lake | Day 4: Leh Sightseeing,"Pangong Lake, Monasteries, Biking",48776,3.2
Varanasi,Spiritual Trip to Varanasi,https://images.unsplash.com/photo-1608222351217-173d809be8c2,The spiritual heart of India on the banks of the Ganges.,Day 1: Evening Aarti | Day 2: Temple Visit | Day 3: Boat Ride | Day 4: Local Walks,"Ganga Aarti, Temples, Spiritual Walks",48980,4.6
Kerala,Nature Trip to Kerala,https://images.unsplash.com/photo-1560347876-aeef00ee58a1,"Houseboats, backwaters, and spice plantations in God’s Own Country.",Day 1: Arrival | Day 2: Alleppey Backwaters | Day 3: Munnar Hills | Day 4: Departure,"Backwaters, Houseboat, Tea Gardens",9585,3.7
Andaman,Beach Trip to Andaman,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,Tropical paradise with turquoise waters and coral reefs.,Day 1: Port Blair | Day 2: Havelock Island | Day 3: Radhanagar Beach | Day 4: Return,"Scuba Diving, Coral Reefs, Beaches",21558,3.4
Andaman,Beach Trip to Andaman,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,Tropical paradise with turquoise waters and coral reefs.,Day 1: Port Blair | Day 2: Havelock Island | Day 3: Radhanagar Beach | Day 4: Return,"Scuba Diving, Coral Reefs, Beaches",61046,3.6
Varanasi,Spiritual Trip to Varanasi,https://images.unsplash.com/photo-1608222351217-173d809be8c2,The spiritual heart of India on the banks of the Ganges.,Day 1: Evening Aarti | Day 2: Temple Visit | Day 3: Boat Ride | Day 4: Local Walks,"Ganga Aarti, Temples, Spiritual Walks",32704,4.4
Manali,Hill Trip to Manali,https://images.unsplash.com/photo-1603782921195-6f3e2d80c66e,"Snow-capped peaks, pine forests, and river valleys await in Manali.",Day 1: Arrival | Day 2: Solang Valley | Day 3: Rohtang Pass | Day 4: Local Markets,"Snow Trek, Solang Valley, Adventure Sports",11181,4.6
Andaman,Beach Trip to Andaman,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,Tropical paradise with turquoise waters and coral reefs.,Day 1: Port Blair | Day 2: Havelock Island | Day 3: Radhanagar Beach | Day 4: Return,"Scuba Diving, Coral Reefs, Beaches",34927,3.8
Shimla,Hill Trip to Shimla,https://images.unsplash.com/photo-1610986604229-1a0f8d6e9c8b,Charming colonial hill station with scenic mountain views.,Day 1: Mall Road | Day 2: Kufri | Day 3: Ridge Walk | Day 4: Departure,"Mall Road, Toy Train, Hill Views",29069,3.2
Rishikesh,Adventure Trip to Rishikesh,https://images.unsplash.com/photo-1578321272234-3c6bdb8acaae,Yoga capital of the world with adventure and serenity combined.,Day 1: Arrival | Day 2: River Rafting | Day 3: Laxman Jhula | Day 4: Meditation,"River Rafting, Yoga, Ganga Aarti",25475,3.9
Rishikesh,Adventure Trip to Rishikesh,https://images.unsplash.com/photo-1578321272234-3c6bdb8acaae,Yoga capital of the world with adventure and serenity combined.,Day 1: Arrival | Day 2: River Rafting | Day 3: Laxman Jhula | Day 4: Meditation,"River Rafting, Yoga, Ganga Aarti",39212,3.7
Goa,Beach Trip to Goa,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,"Experience golden beaches, nightlife, and coastal culture in Goa.",Day 1: Arrival & Relaxation | Day 2: North Goa Beaches | Day 3: South Goa Sightseeing | Day 4: Leisure & Departure,"Beaches, Water Sports, Fort Aguada, Nightlife",10894,3.1
Jaipur,Cultural Trip to Jaipur,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,"Explore palaces, forts, and vibrant bazaars in the Pink City.",Day 1: City Palace & Jantar Mantar | Day 2: Amer Fort | Day 3: Shopping | Day 4: Local Cuisine,"Forts, Heritage, Local Food",10590,4.3
Varanasi,Spiritual Trip to Varanasi,https://images.unsplash.com/photo-1608222351217-173d809be8c2,The spiritual heart of India on the banks of the Ganges.,Day 1: Evening Aarti | Day 2: Temple Visit | Day 3: Boat Ride | Day 4: Local Walks,"Ganga Aarti, Temples, Spiritual Walks",25589,4.0
Andaman,Beach Trip to Andaman,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,Tropical paradise with turquoise waters and coral reefs.,Day 1: Port Blair | Day 2: Havelock Island | Day 3: Radhanagar Beach | Day 4: Return,"Scuba Diving, Coral Reefs, Beaches",29485,3.1
