Trip_ID,Source,Destination,Destination_Type,Season,Cost,Package_Price,User_Budget,User_Rating,Package_Type,Package_Category,Accomidation_type,Transport_type,Package_Title,Trip_Description,Itinerary_Plan,Highlights,Image_URL,Duration_Days
T0001,Delhi,Udaipur,Cultural,Spring,6000,5550,12600,4.8,Budget,Cultural,Heritage Hotel,Train / Bus,Royal Journey of Udaipur,"Experience the best of Udaipur on this 3 Days / 2 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 3 days.","Day 1: Arrival at Udaipur, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Udaipur (short trek/boat/temple visit).",Udaipur City Palace; Udaipur Heritage Walk; Local markets; Traditional performance; Museum visit,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,3
T0002,Delhi,Udaipur,Cultural,Spring,8500,7950,12600,4.8,Family,Cultural,Heritage Hotel,Train / Bus,Jewel of Udaipur - Cultural Highlights - Deluxe,"Experience the best of Udaipur on this 4 Days / 3 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 4 days.","Day 1: Arrival at Udaipur, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Udaipur (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration.",Udaipur City Palace; Udaipur Heritage Walk; Local markets; Traditional performance; Museum visit,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,4
T0003,Delhi,Udaipur,Cultural,Spring,9000,8300,12600,4.8,Luxury,Cultural,Heritage Hotel,Train / Bus,Weekend Escape to Udaipur - Family Special,"Experience the best of Udaipur on this 5 Days / 4 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 5 days.","Day 1: Arrival at Udaipur, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Udaipur (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure.",Udaipur City Palace; Udaipur Heritage Walk; Local markets; Traditional performance; Museum visit,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,5
T0004,Delhi,Udaipur,Cultural,Spring,11900,11000,12600,4.8,Couple,Cultural,Heritage Hotel,Train / Bus,Udaipur Heritage & Culture Trail - Budget Friendly,"Experience the best of Udaipur on this 6 Days / 5 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 6 days.","Day 1: Arrival at Udaipur, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Udaipur (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure. | Day 6+: Additional relaxed exploration, optional excursions and departure formalities.",Udaipur City Palace; Udaipur Heritage Walk; Local markets; Traditional performance; Museum visit,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,6
T0005,Delhi,Udaipur,Cultural,Spring,12500,11200,12600,4.8,Group,Cultural,Heritage Hotel,Train / Bus,Udaipur Explorer Package,"Experience the best of Udaipur on this 7 Days / 6 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 7 days.","Day 1: Arrival at Udaipur, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Udaipur (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure. | Day 6+: Additional relaxed exploration, optional excursions and departure formalities.",Udaipur City Palace; Udaipur Heritage Walk; Local markets; Traditional performance; Museum visit,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,7
T0006,Kolkata,Jaipur,Cultural,Summer,5400,4700,11200,4.3,Budget,Cultural,Heritage Hotel,Train / Bus,Royal Journey of Jaipur,"Experience the best of Jaipur on this 3 Days / 2 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 3 days.","Day 1: Arrival at Jaipur, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Jaipur (short trek/boat/temple visit).",Jaipur City Palace; Jaipur Heritage Walk; Local markets; Traditional performance; Museum visit,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,3
T0007,Kolkata,Jaipur,Cultural,Summer,10200,8950,11200,4.3,Family,Cultural,Heritage Hotel,Train / Bus,Jewel of Jaipur - Cultural Highlights - Deluxe,"Experience the best of Jaipur on this 4 Days / 3 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 4 days.","Day 1: Arrival at Jaipur, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Jaipur (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration.",Jaipur City Palace; Jaipur Heritage Walk; Local markets; Traditional performance; Museum visit,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,4
T0008,Kolkata,Jaipur,Cultural,Summer,13100,11450,11200,4.3,Luxury,Cultural,Heritage Hotel,Train / Bus,Weekend Escape to Jaipur - Family Special,"Experience the best of Jaipur on this 5 Days / 4 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 5 days.","Day 1: Arrival at Jaipur, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Jaipur (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure.",Jaipur City Palace; Jaipur Heritage Walk; Local markets; Traditional performance; Museum visit,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,5
T0009,Kolkata,Jaipur,Cultural,Summer,14900,12900,11200,4.3,Couple,Cultural,Heritage Hotel,Train / Bus,Jaipur Heritage & Culture Trail - Budget Friendly,"Experience the best of Jaipur on this 6 Days / 5 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 6 days.","Day 1: Arrival at Jaipur, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Jaipur (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure. | Day 6+: Additional relaxed exploration, optional excursions and departure formalities.",Jaipur City Palace; Jaipur Heritage Walk; Local markets; Traditional performance; Museum visit,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,6
T0010,Kolkata,Jaipur,Cultural,Summer,14000,12400,11200,4.3,Group,Cultural,Heritage Hotel,Train / Bus,Jaipur Explorer Package,"Experience the best of Jaipur on this 7 Days / 6 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 7 days.","Day 1: Arrival at Jaipur, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Jaipur (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure. | Day 6+: Additional relaxed exploration, optional excursions and departure formalities.",Jaipur City Palace; Jaipur Heritage Walk; Local markets; Traditional performance; Museum visit,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,7
